satlRecId,mask,lnbType,lnbLowFreq,lnbHighFreq,lnbSwitchFreq,diseqcType,port,m22k,toneBurst,lnbPower,position,userBand,bandFreq,mduType,orbPos,subDiseqcType,subPort,subM22k,subToneBurst,subLnbPower,subPosition,subUserBand,subBandFreq,subMduType,diseqcTypeEx,portEx,subDiseqcTypeEx,subPortEx,satName,lnbSetupId,operatorName
1,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Astra 1,255,0
2,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,Astra 2,255,0
3,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,Hot Bird,-1,0
4,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,Eutelsat 7A,-1,0
5,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,Thor-Intelsat 10-02,-1,0
6,147456,1,5150,0,0,0,0,2,2,1,0,0,0,0,-430,0,0,0,0,0,0,0,0,0,0,0,0,0,Thor-Intelsat 11,255,0
7,155648,2,9750,10600,11700,2,0,2,2,1,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,255,0,0,Turksat,0,0
8,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,ABS-2,255,0
9,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,-611,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas 2,-1,0
10,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,AMOS,-1,0
11,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,Astra 3,-1,0
12,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,Astra 4A,-1,0
13,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,Astra 5B-1G,-1,0
14,147456,2,9750,10600,11700,0,0,2,2,1,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,Badr 4,-1,0
