tslRecId,bcstType,bcstMedium,nwId,onId,tsId,res1,res2,flags,lna,freq,startFreq,endFreq,symRate,symRateInSps,tsRateInKbps,fecInner,mod,pol,connMode,orbPos,noDiscNfy,data,dvbSS2Mode,mduLoFreq,dvbSS2RollOff,dvbSS2Modulation,dvbSS2Coderate,pilotInsert,canalDigitalTs,rto,mask,nwlId,nwlRecId,satlId,satlRecId
1,2,3,0,0,0,0,0,0,0,10714,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
2,2,3,0,0,0,0,0,0,0,10773,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
3,2,3,0,0,0,0,0,0,0,10832,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
4,2,3,0,0,0,0,0,0,0,10891,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
5,2,3,0,0,0,0,0,0,0,10964,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
6,2,3,0,0,0,0,0,0,0,11023,0,0,23500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
7,2,3,0,0,0,0,0,0,0,11082,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
8,2,3,0,0,0,0,0,0,0,11141,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
9,2,3,0,0,0,0,0,0,0,11214,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
10,2,3,0,0,0,0,0,0,0,11273,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
11,2,3,0,0,0,0,0,0,0,11332,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
12,2,3,0,0,0,0,0,0,0,11391,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
13,2,3,0,0,0,0,0,0,0,11464,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
14,2,3,0,0,0,0,0,0,0,11523,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,1
15,2,3,0,0,0,0,0,0,0,10714,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
16,2,3,0,0,0,0,0,0,0,10773,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
17,2,3,0,0,0,0,0,0,0,10832,0,0,23000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
18,2,3,0,0,0,0,0,0,0,10891,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
19,2,3,0,0,0,0,0,0,0,10964,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
20,2,3,0,0,0,0,0,0,0,11053,0,0,23000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
21,2,3,0,0,0,0,0,0,0,11112,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
22,2,3,0,0,0,0,0,0,0,11225,0,0,27500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
23,2,3,0,0,0,0,0,0,0,11307,0,0,27500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
24,2,3,0,0,0,0,0,0,0,11385,0,0,27500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
25,2,3,0,0,0,0,0,0,0,11464,0,0,22000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,2
26,2,3,0,0,0,0,0,0,0,10727,0,0,30000,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
27,2,3,0,0,0,0,0,0,0,10815,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
28,2,3,0,0,0,0,0,0,0,10892,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
29,2,3,0,0,0,0,0,0,0,10971,0,0,29700,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
30,2,3,0,0,0,0,0,0,0,11054,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
31,2,3,0,0,0,0,0,0,0,11137,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
32,2,3,0,0,0,0,0,0,0,11219,0,0,29900,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
33,2,3,0,0,0,0,0,0,0,11296,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
34,2,3,0,0,0,0,0,0,0,11373,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
35,2,3,0,0,0,0,0,0,0,11432,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
36,2,3,0,0,0,0,0,0,0,11508,0,0,27500,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,3
37,2,3,0,0,0,0,0,0,0,10762,0,0,30000,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
38,2,3,0,0,0,0,0,0,0,10845,0,0,30000,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
39,2,3,0,0,0,0,0,0,0,10928,0,0,30000,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
40,2,3,0,0,0,0,0,0,0,10968,0,0,6666,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
41,2,3,0,0,0,0,0,0,0,10982,0,0,13333,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
42,2,3,0,0,0,0,0,0,0,11000,0,0,9875,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
43,2,3,0,0,0,0,0,0,0,11023,0,0,4936,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
44,2,3,0,0,0,0,0,0,0,11052,0,0,6666,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
45,2,3,0,0,0,0,0,0,0,11070,0,0,6666,0,0,0,2,2,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,4
46,2,3,0,0,0,0,0,0,0,10747,0,0,25000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
47,2,3,0,0,0,0,0,0,0,10809,0,0,24500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
48,2,3,0,0,0,0,0,0,0,10872,0,0,25000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
49,2,3,0,0,0,0,0,0,0,10934,0,0,25000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
50,2,3,0,0,0,0,0,0,0,11065,0,0,1500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
51,2,3,0,0,0,0,0,0,0,11189,0,0,1005,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
52,2,3,0,0,0,0,0,0,0,11261,0,0,25000,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
53,2,3,0,0,0,0,0,0,0,11325,0,0,24500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
54,2,3,0,0,0,0,0,0,0,11389,0,0,24500,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
55,2,3,0,0,0,0,0,0,0,11463,0,0,6111,0,0,0,2,1,0,0,true,0,1,0,0,0,0,true,true,0,0,0,0,3,5
